Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
20,862.70,2.050,-12.030,23.4978,2.6312,56.9657,0.0000,27.3037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2336,6.1901,0.3069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-388.707,-330.379,51.352,8.931,28.309,0.538529,0.443907,0.017564
21,862.42,2.000,-12.040,23.4700,2.6311,56.9496,0.0000,27.3149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2466,6.1836,0.3054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-388.279,-330.043,51.283,8.920,28.274,0.537975,0.444547,0.017478
22,862.42,2.000,-12.040,23.4692,2.6311,56.9495,0.0000,27.3149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2467,6.1835,0.3053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-388.267,-330.033,51.282,8.920,28.273,0.537971,0.444551,0.017478
23,862.14,1.950,-12.050,23.4411,2.6310,56.9333,0.0000,27.3262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2598,6.1769,0.3038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-387.833,-329.693,51.212,8.909,28.238,0.537413,0.445195,0.017392
24,862.14,1.950,-12.050,23.4404,2.6310,56.9332,0.0000,27.3263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2599,6.1768,0.3038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-387.822,-329.682,51.211,8.909,28.237,0.537409,0.445199,0.017392
25,861.86,1.900,-12.060,23.4119,2.6310,56.9169,0.0000,27.3376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2730,6.1702,0.3023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-387.383,-329.338,51.141,8.899,28.202,0.536847,0.445847,0.017306
26,861.87,1.900,-12.060,23.4111,2.6310,56.9167,0.0000,27.3377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2731,6.1701,0.3023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-387.371,-329.327,51.139,8.898,28.201,0.536843,0.445851,0.017305
27,861.58,1.850,-12.071,23.3824,2.6309,56.9003,0.0000,27.3491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2864,6.1634,0.3008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-386.927,-328.979,51.068,8.888,28.165,0.536277,0.446503,0.017219
28,861.59,1.850,-12.070,23.3816,2.6309,56.9002,0.0000,27.3492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2865,6.1634,0.3008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-386.915,-328.968,51.067,8.887,28.164,0.536273,0.446508,0.017219
29,861.30,1.800,-12.081,23.3526,2.6308,56.8836,0.0000,27.3607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2998,6.1566,0.2993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-386.466,-328.615,50.995,8.876,28.128,0.535703,0.447164,0.017133
30,861.31,1.800,-12.081,23.3518,2.6308,56.8835,0.0000,27.3607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2999,6.1566,0.2993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-386.454,-328.604,50.993,8.876,28.127,0.535699,0.447169,0.017132
31,861.02,1.750,-12.091,23.3224,2.6308,56.8669,0.0000,27.3723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3133,6.1498,0.2977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-386.000,-328.247,50.921,8.865,28.091,0.535124,0.447830,0.017046
32,861.03,1.750,-12.091,23.3216,2.6308,56.8668,0.0000,27.3724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3134,6.1497,0.2977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.987,-328.235,50.920,8.865,28.090,0.535120,0.447834,0.017046
33,860.74,1.700,-12.101,23.2920,2.6307,56.8500,0.0000,27.3840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3269,6.1428,0.2962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.529,-327.874,50.847,8.854,28.053,0.534542,0.448499,0.016959
34,860.75,1.700,-12.101,23.2912,2.6307,56.8499,0.0000,27.3841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3270,6.1428,0.2962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.515,-327.862,50.845,8.854,28.052,0.534537,0.448504,0.016959
35,860.46,1.650,-12.111,23.2612,2.6306,56.8330,0.0000,27.3958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3406,6.1359,0.2947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.052,-327.497,50.771,8.842,28.014,0.533954,0.449173,0.016872
36,860.46,1.650,-12.111,23.2604,2.6306,56.8329,0.0000,27.3959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3407,6.1358,0.2947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.038,-327.485,50.770,8.842,28.013,0.533950,0.449178,0.016872
37,860.18,1.600,-12.121,23.2301,2.6306,56.8159,0.0000,27.4077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3544,6.1289,0.2932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-384.569,-327.115,50.695,8.831,27.976,0.533363,0.449852,0.016785
38,860.18,1.600,-12.121,23.2293,2.6306,56.8158,0.0000,27.4078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3545,6.1288,0.2932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-384.555,-327.103,50.694,8.830,27.975,0.533358,0.449857,0.016785
39,860.07,1.550,-12.128,23.3040,2.6303,56.8206,0.0000,27.4045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3507,6.1312,0.2929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.830,-328.200,50.856,8.860,28.065,0.533562,0.449669,0.016769
40,860.07,1.550,-12.128,23.3019,2.6303,56.8206,0.0000,27.4045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3507,6.1312,0.2929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.796,-328.171,50.851,8.859,28.062,0.533562,0.449669,0.016769
41,860.07,1.550,-12.128,23.2996,2.6303,56.8202,0.0000,27.4048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3510,6.1311,0.2929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.759,-328.139,50.846,8.858,28.060,0.533547,0.449685,0.016768
42,860.82,1.500,-12.119,23.9186,2.6292,56.9373,0.0000,27.3246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2575,6.1815,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-396.079,-336.848,52.233,9.097,28.812,0.537804,0.445076,0.017121
43,860.82,1.500,-12.119,23.9186,2.6292,56.9373,0.0000,27.3246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2575,6.1815,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-396.079,-336.848,52.233,9.097,28.812,0.537804,0.445076,0.017121
44,860.83,1.500,-12.119,23.9163,2.6292,56.9369,0.0000,27.3248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2578,6.1814,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-396.042,-336.816,52.228,9.096,28.809,0.537790,0.445091,0.017120
45,861.58,1.450,-12.109,24.5493,2.6281,57.0547,0.0000,27.2441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1637,6.2320,0.3056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-406.598,-345.722,53.648,9.341,29.579,0.542058,0.440454,0.017488
46,861.58,1.450,-12.109,24.5493,2.6281,57.0547,0.0000,27.2441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1637,6.2320,0.3056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-406.598,-345.722,53.648,9.341,29.579,0.542058,0.440454,0.017488
47,861.59,1.450,-12.109,24.5470,2.6281,57.0543,0.0000,27.2443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1640,6.2318,0.3056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-406.562,-345.691,53.643,9.340,29.576,0.542044,0.440468,0.017487
48,862.34,1.400,-12.100,25.1947,2.6269,57.1728,0.0000,27.1630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0693,6.2826,0.3124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-417.365,-354.803,55.097,9.591,30.364,0.546323,0.435804,0.017873
49,862.34,1.400,-12.100,25.1947,2.6269,57.1728,0.0000,27.1630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0693,6.2826,0.3124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-417.365,-354.803,55.097,9.591,30.364,0.546323,0.435804,0.017873
50,862.35,1.400,-12.100,25.1925,2.6269,57.1724,0.0000,27.1632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0695,6.2825,0.3124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-417.329,-354.772,55.092,9.590,30.362,0.546310,0.435818,0.017872
51,863.11,1.350,-12.090,25.8555,2.6258,57.2916,0.0000,27.0813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9742,6.3334,0.3195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-428.389,-364.098,56.582,9.847,31.168,0.550598,0.431126,0.018276
52,863.11,1.350,-12.090,25.8555,2.6258,57.2916,0.0000,27.0813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9742,6.3334,0.3195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-428.390,-364.098,56.582,9.847,31.168,0.550598,0.431126,0.018276
53,863.12,1.350,-12.090,25.8534,2.6258,57.2912,0.0000,27.0816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9744,6.3332,0.3195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-428.355,-364.068,56.577,9.846,31.166,0.550586,0.431139,0.018275
54,863.88,1.300,-12.081,26.5322,2.6246,57.4111,0.0000,26.9991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8785,6.3843,0.3270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-439.682,-373.616,58.103,10.109,31.992,0.554881,0.426420,0.018699
55,863.88,1.300,-12.081,26.5322,2.6246,57.4111,0.0000,26.9991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8785,6.3843,0.3270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-439.682,-373.617,58.103,10.109,31.992,0.554881,0.426420,0.018699
56,863.89,1.300,-12.080,26.5302,2.6246,57.4108,0.0000,26.9994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8787,6.3841,0.3270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-439.649,-373.588,58.099,10.108,31.990,0.554870,0.426432,0.018697
57,864.65,1.250,-12.071,27.2254,2.6234,57.5313,0.0000,26.9164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7822,6.4353,0.3348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-451.251,-383.366,59.663,10.378,32.836,0.559170,0.421688,0.019142
