Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
121,879.40,0.200,-11.898,3.6810990860337e+01,2.2965,74.1615,0.6838,12.6907,0.3601,0.0000,0.8239,0.2051,0.4967,0.0000,0.0000,2.1489,1.8120,4.8730,0.4147,1.3295,0.0000,0.0000,0.0000,0.0000,-6.0183532922822e+02,-4.9986084529494e+02,8.8476976667262e+01,1.6029516606760e+01,4.8421363092700e+01,6.6503712e-01,5.6370144e-02,1.5657175e-03,4.6014446e-03,9.2438727e+00,3.4901284e-02,1.0712463e-02,8.0818446e-03,3.9757330e+00,1.5403333e+00,2.4455307e-02,3.1187314e-06,6.9704323e-03,8.9342114e-01,6.0174052e-01,5.1883457e-01,5.1883457e-01,5.1883457e-01,4.4633946e-02,8.0677,6.3189009139617e+01,0.6343,-1.0403644958995e+03,-8.5148255398368e+02,1.6388122325473e+02,9.9622590826840e+01,7.9754051938104e+01,-1.6421998251278e+03,-1.3513433992786e+03, 2.5235819992200e+02, 1.1565210743360e+02, 1.2817541503080e+02, 7.8670960574564e-02,-3.9604798137532e-01, 6.8023802004414e-04, 3.4244769953951e-03, 1.1261803816038e-03,-1.9307776992550e-04, 7.0256665202796e-05, 1.2045139891746e-05
122,879.41,0.200,-11.898,3.6814685121184e+01,2.2964,74.1618,0.6838,12.6906,0.3602,0.0000,0.8240,0.2050,0.4967,0.0000,0.0000,2.1489,1.8121,4.8726,0.4147,1.3296,0.0000,0.0000,0.0000,0.0000,-6.0189658411404e+02,-4.9991085736868e+02,8.8486237347234e+01,1.6031132753794e+01,4.8426253000217e+01,6.6504044e-01,5.6368616e-02,1.5657695e-03,4.6015299e-03,9.2435539e+00,3.4903280e-02,1.0711076e-02,8.0819804e-03,3.9757060e+00,1.5403285e+00,2.4455856e-02,3.1190031e-06,6.9700254e-03,8.9331718e-01,6.0174364e-01,5.1883682e-01,5.1883682e-01,5.1883682e-01,4.4633169e-02,8.0676,6.3185313464199e+01,0.6343,-1.0403048418363e+03,-8.5143106756554e+02,1.6387322179425e+02,9.9620285992891e+01,7.9749643395532e+01,-1.6422014259503e+03,-1.3513419249342e+03, 2.5235945914148e+02, 1.1565141874668e+02, 1.2817589639575e+02, 7.8669488108453e-02,-3.9604302778821e-01, 6.8022933882692e-04, 3.4244545555959e-03, 1.1262936198489e-03,-1.9309808455649e-04, 7.0256646061543e-05, 1.2045192783448e-05
123,881.73,0.150,-11.860,3.1617339063355e+01,2.3075,73.7773,0.7499,12.9433,0.3367,0.0000,0.7676,0.2387,0.4835,0.0000,0.0000,2.1558,1.5839,5.3703,0.4829,1.1100,0.0000,0.0000,0.0000,0.0000,-5.1598160535782e+02,-4.2888264272267e+02,7.5417904374922e+01,1.3702188310171e+01,4.1516434134214e+01,6.6733917e-01,5.8100610e-02,1.5966919e-03,4.7545206e-03,9.8472778e+00,3.4835877e-02,1.3379697e-02,8.2189230e-03,4.0940542e+00,1.5813347e+00,2.4451858e-02,3.1265311e-06,7.8508461e-03,1.0475228e+00,6.0149464e-01,5.3038037e-01,5.3038037e-01,5.3038037e-01,3.3917270e-02,8.2335,6.8383695965286e+01,0.5140,-1.1274718075637e+03,-9.2312594270139e+02,1.7694053326621e+02,1.3304140363111e+02,8.5971455348159e+01,-1.6434534129215e+03,-1.3520085854241e+03, 2.5235843764113e+02, 1.4674359194128e+02, 1.2748788948237e+02, 1.0597824011010e-01,-7.3858545766588e-01, 7.2220012273180e-04, 5.0331700886906e-03, 8.9569606164865e-04,-1.5707413814644e-04, 6.5368833165411e-05, 1.1463434496068e-05
124,881.73,0.150,-11.860,3.1617011818241e+01,2.3075,73.7773,0.7499,12.9433,0.3367,0.0000,0.7676,0.2387,0.4835,0.0000,0.0000,2.1558,1.5839,5.3703,0.4829,1.1100,0.0000,0.0000,0.0000,0.0000,-5.1597626485593e+02,-4.2887820371061e+02,7.5417123786126e+01,1.3702046490072e+01,4.1516004431695e+01,6.6733917e-01,5.8100610e-02,1.5966919e-03,4.7545206e-03,9.8472778e+00,3.4835877e-02,1.3379697e-02,8.2189230e-03,4.0940542e+00,1.5813347e+00,2.4451858e-02,3.1265311e-06,7.8508461e-03,1.0475228e+00,6.0149464e-01,5.3038037e-01,5.3038037e-01,5.3038037e-01,3.3917270e-02,8.2335,6.8382988181721e+01,0.5140,-1.1274601380276e+03,-9.2311638818174e+02,1.7693870189986e+02,1.3304002662870e+02,8.5970565528125e+01,-1.6434364028835e+03,-1.3519945918924e+03, 2.5235582568599e+02, 1.4674207311877e+02, 1.2748656995982e+02, 1.0597714321630e-01,-7.3857781317388e-01, 7.2220012273184e-04, 5.0331700886909e-03, 8.9568679103456e-04,-1.5707251240106e-04, 6.5368833165434e-05, 1.1463434496070e-05
125,881.74,0.150,-11.860,3.1618441713568e+01,2.3075,73.7775,0.7499,12.9433,0.3367,0.0000,0.7676,0.2387,0.4835,0.0000,0.0000,2.1558,1.5840,5.3702,0.4829,1.1100,0.0000,0.0000,0.0000,0.0000,-5.1599995279081e+02,-4.2889754172421e+02,7.5420687901310e+01,1.3702669441738e+01,4.1517891294914e+01,6.6734077e-01,5.8099920e-02,1.5967143e-03,4.7545657e-03,9.8471239e+00,3.4836826e-02,1.3378916e-02,8.2189907e-03,4.0940411e+00,1.5813323e+00,2.4452134e-02,3.1266728e-06,7.8506640e-03,1.0474671e+00,6.0149600e-01,5.3038134e-01,5.3038134e-01,5.3038134e-01,3.3916983e-02,8.2335,6.8381557770154e+01,0.5140,-1.1274372239116e+03,-9.2309640886303e+02,1.7693568580427e+02,1.3303919823837e+02,8.5968874151141e+01,-1.6434371767024e+03,-1.3519939505872e+03, 2.5235637370558e+02, 1.4674186768011e+02, 1.2748676544606e+02, 1.0597650633039e-01,-7.3857566161177e-01, 7.2219679363367e-04, 5.0331624729067e-03, 8.9572685714479e-04,-1.5707993538608e-04, 6.5368785327071e-05, 1.1463455062823e-05
126,882.99,0.100,-11.842,2.5820355347525e+01,2.3207,73.2054,0.8009,13.3071,0.3087,0.0000,0.6988,0.2866,0.4604,0.0000,0.0000,2.1804,1.3008,5.9930,0.5913,0.8666,0.0000,0.0000,0.0000,0.0000,-4.2034115278714e+02,-3.4981774662197e+02,6.0999180680809e+01,1.1126073427035e+01,3.3846961329525e+01,6.6909184e-01,5.7695512e-02,1.6419396e-03,4.9749767e-03,1.0672789e+01,3.4684758e-02,1.7504032e-02,8.2868307e-03,4.2415864e+00,1.6325731e+00,2.4213589e-02,3.0031064e-06,9.0060713e-03,1.2995985e+00,6.0201641e-01,5.4445576e-01,5.4445576e-01,5.4445576e-01,2.2978775e-02,8.4215,7.4179870278987e+01,0.3756,-1.2242827844984e+03,-1.0030498368616e+03,1.9135531420368e+02,1.9752191112545e+02,9.2859430295806e+01,-1.6446239372856e+03,-1.3528675834836e+03, 2.5235449488449e+02, 2.0864798455249e+02, 1.2670639162533e+02, 1.5994700975793e-01,-1.7319657011236e+00, 7.6658784939132e-04, 8.3008983040903e-03, 6.6660627314658e-04,-1.2006001902459e-04, 5.9913884041679e-05, 1.0790870634815e-05
127,882.99,0.100,-11.842,2.5820297090295e+01,2.3207,73.2054,0.8009,13.3071,0.3087,0.0000,0.6988,0.2866,0.4604,0.0000,0.0000,2.1804,1.3008,5.9930,0.5913,0.8666,0.0000,0.0000,0.0000,0.0000,-4.2034020439159e+02,-3.4981695734499e+02,6.0999043051293e+01,1.1126048323810e+01,3.3846884962249e+01,6.6909184e-01,5.7695512e-02,1.6419396e-03,4.9749767e-03,1.0672789e+01,3.4684758e-02,1.7504032e-02,8.2868307e-03,4.2415864e+00,1.6325731e+00,2.4213589e-02,3.0031064e-06,9.0060713e-03,1.2995985e+00,6.0201641e-01,5.4445576e-01,5.4445576e-01,5.4445576e-01,2.2978775e-02,8.4215,7.4179702909671e+01,0.3756,-1.2242800221943e+03,-1.0030475737171e+03,1.9135488245579e+02,1.9752146546444e+02,9.2859220780501e+01,-1.6446202265858e+03,-1.3528645310621e+03, 2.5235392550708e+02, 2.0864751378825e+02, 1.2670610574275e+02, 1.5994664887576e-01,-1.7319617933573e+00, 7.6658784939125e-04, 8.3008983040892e-03, 6.6660476911509e-04,-1.2005974813903e-04, 5.9913884041698e-05, 1.0790870634824e-05
128,882.98,0.100,-11.842,2.5817167098411e+01,2.3207,73.2051,0.8008,13.3073,0.3087,0.0000,0.6987,0.2866,0.4604,0.0000,0.0000,2.1804,1.3006,5.9934,0.5913,0.8666,0.0000,0.0000,0.0000,0.0000,-4.2028851355222e+02,-3.4977468438397e+02,6.0991326270061e+01,1.1124694510215e+01,3.3842770452404e+01,6.6908766e-01,5.7693150e-02,1.6418948e-03,4.9749419e-03,1.0673269e+01,3.4682872e-02,1.7506242e-02,8.2865690e-03,4.2416315e+00,1.6325839e+00,2.4212761e-02,3.0027023e-06,9.0065379e-03,1.2997885e+00,6.0201465e-01,5.4445438e-01,5.4445438e-01,5.4445438e-01,2.2979289e-02,8.4216,7.4182832740701e+01,0.3756,-1.2243296572692e+03,-1.0030913921710e+03,1.9136126018387e+02,1.9752291294054e+02,9.2862881531099e+01,-1.6446181708214e+03,-1.3528660765549e+03, 2.5235258645393e+02, 2.0864760745075e+02, 1.2670565198350e+02, 1.5994824902881e-01,-1.7319652936226e+00, 7.6659517443337e-04, 8.3009113537590e-03, 6.6652517022992e-04,-1.2004469213913e-04, 5.9914020076495e-05, 1.0790830438436e-05
129,881.45,0.050,-11.875,1.8532459935601e+01,2.3391,72.1565,0.8451,13.9260,0.2699,0.0000,0.6022,0.3749,0.4240,0.0000,0.0000,2.2813,0.9247,6.7940,0.8238,0.5777,0.0000,0.0000,0.0000,0.0000,-3.0057815042177e+02,-2.5072603364717e+02,4.3177054154617e+01,7.9228846296433e+00,2.4271944417935e+01,6.6941568e-01,5.5556335e-02,1.7489108e-03,5.2261414e-03,1.1847169e+01,3.3897638e-02,2.5522330e-02,8.2487415e-03,4.4431143e+00,1.7034833e+00,2.3034774e-02,2.5643372e-06,1.0584683e-02,1.8605457e+00,6.0304920e-01,5.6325360e-01,5.6325360e-01,5.6325360e-01,1.1767935e-02,8.6305,8.1467141027412e+01,0.2114,-1.3450474128311e+03,-1.1035352328507e+03,2.0917435705216e+02,3.8539326515920e+02,1.0143879717687e+02,-1.6456255632529e+03,-1.3542612664978e+03, 2.5235141120677e+02, 3.9331614978884e+02, 1.2571074159481e+02, 3.2070700820083e-01,-7.1686989728957e+00, 8.1539242254101e-04, 1.8226302115345e-02, 4.2297895457499e-04,-7.8868210352855e-05, 5.3386989000499e-05, 9.9544817373424e-06
130,881.45,0.050,-11.875,1.8532533886317e+01,2.3391,72.1565,0.8451,13.9260,0.2699,0.0000,0.6022,0.3749,0.4240,0.0000,0.0000,2.2813,0.9247,6.7940,0.8238,0.5777,0.0000,0.0000,0.0000,0.0000,-3.0057934982903e+02,-2.5072703412783e+02,4.3177226445493e+01,7.9229162445991e+00,2.4272041271129e+01,6.6941568e-01,5.5556335e-02,1.7489108e-03,5.2261414e-03,1.1847169e+01,3.3897638e-02,2.5522330e-02,8.2487415e-03,4.4431143e+00,1.7034833e+00,2.3034774e-02,2.5643372e-06,1.0584683e-02,1.8605457e+00,6.0304920e-01,5.6325360e-01,5.6325360e-01,5.6325360e-01,1.1767935e-02,8.6305,8.1467466113653e+01,0.2114,-1.3450527801043e+03,-1.1035396363947e+03,2.0917519174059e+02,3.8539480302802e+02,1.0143920195790e+02,-1.6456321299333e+03,-1.3542666705225e+03, 2.5235241818608e+02, 3.9331771927262e+02, 1.2571124322903e+02, 3.2070828794609e-01,-7.1687275787834e+00, 8.1539242254122e-04, 1.8226302115351e-02, 4.2298064240342e-04,-7.8868525063196e-05, 5.3386989000641e-05, 9.9544817373223e-06
