Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
87,871.95,0.750,-11.983,1.7369,4.8312,0.0000,9.5316,2.5449,49.0373,0.0000,36.1887,0.0000,2.6975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.677,-8.911,3.289,0.360,1.569,0.000000,-0.092990,0.680378,0.148292,0.264320
88,871.95,0.750,-11.983,1.7369,4.8312,0.0000,9.5316,2.5449,49.0373,0.0000,36.1887,0.0000,2.6975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.677,-8.911,3.289,0.360,1.569,0.000000,-0.092990,0.680378,0.148292,0.264320
89,871.95,0.750,-11.983,1.7369,4.8312,0.0000,9.5315,2.5449,49.0374,0.0000,36.1887,0.0000,2.6975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.677,-8.911,3.289,0.360,1.569,0.000000,-0.092990,0.680378,0.148293,0.264319
90,872.55,0.700,-11.976,1.7342,4.8322,0.0000,9.5636,2.5144,48.9958,0.0000,36.2573,0.0000,2.6689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.652,-8.890,3.284,0.359,1.567,0.000000,-0.092110,0.680039,0.146768,0.265302
91,872.55,0.700,-11.976,1.7342,4.8322,0.0000,9.5636,2.5144,48.9958,0.0000,36.2573,0.0000,2.6689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.652,-8.890,3.284,0.359,1.567,0.000000,-0.092110,0.680039,0.146768,0.265302
92,872.55,0.700,-11.976,1.7342,4.8322,0.0000,9.5636,2.5144,48.9958,0.0000,36.2573,0.0000,2.6689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.652,-8.890,3.284,0.359,1.567,0.000000,-0.092110,0.680039,0.146769,0.265302
93,873.10,0.650,-11.971,1.7297,4.8333,0.0000,9.6008,2.4819,48.9456,0.0000,36.3337,0.0000,2.6380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.613,-8.859,3.276,0.358,1.562,0.000000,-0.091155,0.679595,0.145127,0.266433
94,873.10,0.650,-11.971,1.7297,4.8333,0.0000,9.6008,2.4819,48.9456,0.0000,36.3337,0.0000,2.6380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.614,-8.859,3.276,0.358,1.562,0.000000,-0.091155,0.679595,0.145127,0.266433
95,873.10,0.650,-11.971,1.7297,4.8333,0.0000,9.6008,2.4819,48.9456,0.0000,36.3337,0.0000,2.6380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.614,-8.859,3.276,0.358,1.562,0.000000,-0.091154,0.679595,0.145126,0.266433
96,873.60,0.600,-11.967,1.7232,4.8345,0.0000,9.6438,2.4472,48.8855,0.0000,36.4186,0.0000,2.6049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.559,-8.817,3.263,0.356,1.556,0.000000,-0.090121,0.679029,0.143359,0.267733
