Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),      h2oduan,      co2duan
93,873.10,0.650,-11.971,1.9714,0.1318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-46.171,-23.427,19.842,14.952,6.043,1.000000,0.000000
94,873.10,0.650,-11.971,1.9714,0.1318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-46.171,-23.428,19.842,14.952,6.043,1.000000,0.000000
95,873.10,0.650,-11.971,1.9714,0.1318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-46.171,-23.428,19.842,14.952,6.043,1.000000,0.000000
96,873.60,0.600,-11.967,2.0758,0.1212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-48.710,-24.628,21.000,17.131,6.257,1.000000,0.000000
97,873.60,0.600,-11.967,2.0759,0.1212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-48.710,-24.629,21.000,17.131,6.257,1.000000,0.000000
98,873.59,0.600,-11.967,2.0759,0.1212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-48.711,-24.629,21.000,17.131,6.257,1.000000,0.000000
99,874.01,0.550,-11.964,2.1795,0.1106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-51.246,-25.816,22.168,19.713,6.457,1.000000,0.000000
100,874.01,0.550,-11.964,2.1795,0.1106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-51.247,-25.816,22.168,19.713,6.457,1.000000,0.000000
101,874.01,0.550,-11.964,2.1796,0.1106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-51.247,-25.817,22.168,19.713,6.457,1.000000,0.000000
102,874.34,0.500,-11.962,2.2824,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-53.782,-26.991,23.347,22.817,6.642,1.000000,0.000000
103,874.34,0.500,-11.962,2.2825,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-53.782,-26.991,23.348,22.817,6.643,1.000000,0.000000
104,874.34,0.500,-11.963,2.2825,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-53.783,-26.991,23.348,22.818,6.643,1.000000,0.000000
105,874.55,0.450,-11.963,2.3846,0.0896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-56.321,-28.153,24.542,26.619,6.815,1.000000,0.000000
106,874.55,0.450,-11.963,2.3847,0.0896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-56.322,-28.154,24.543,26.620,6.815,1.000000,0.000000
107,874.55,0.450,-11.963,2.3847,0.0896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-56.322,-28.154,24.543,26.620,6.815,1.000000,0.000000
108,874.63,0.400,-11.967,2.4862,0.0792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-58.869,-29.306,25.757,31.382,6.975,1.000000,0.000000
109,874.63,0.400,-11.967,2.4863,0.0792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-58.870,-29.306,25.758,31.383,6.975,1.000000,0.000000
110,874.62,0.400,-11.967,2.4863,0.0792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-58.871,-29.307,25.758,31.383,6.975,1.000000,0.000000
111,874.52,0.350,-11.974,2.5874,0.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-61.437,-30.450,27.000,37.518,7.124,1.000000,0.000000
112,874.52,0.350,-11.974,2.5875,0.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-61.439,-30.451,27.001,37.519,7.124,1.000000,0.000000
113,874.51,0.350,-11.974,2.5875,0.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-61.439,-30.451,27.001,37.519,7.124,1.000000,0.000000
114,874.17,0.300,-11.985,2.6885,0.0588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-64.040,-31.592,28.282,45.718,7.262,1.000000,0.000000
115,874.17,0.300,-11.985,2.6886,0.0588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-64.042,-31.593,28.283,45.719,7.262,1.000000,0.000000
116,874.16,0.300,-11.985,2.6886,0.0588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-64.042,-31.593,28.283,45.719,7.262,1.000000,0.000000
117,876.43,0.250,-11.948,2.8316,0.0486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-67.779,-33.201,30.079,58.250,7.499,1.000000,0.000000
118,876.43,0.250,-11.948,2.8316,0.0486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-67.779,-33.201,30.079,58.250,7.499,1.000000,0.000000
119,876.44,0.250,-11.948,2.8315,0.0486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-67.777,-33.200,30.078,58.248,7.499,1.000000,0.000000
120,879.40,0.200,-11.898,2.9812,0.0385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-71.798,-34.875,32.036,77.341,7.743,1.000000,0.000000
121,879.40,0.200,-11.898,2.9811,0.0385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-71.797,-34.875,32.035,77.340,7.743,1.000000,0.000000
122,879.41,0.200,-11.898,2.9811,0.0385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-71.796,-34.874,32.035,77.339,7.742,1.000000,0.000000
123,881.73,0.150,-11.860,3.1196,0.0287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-75.679,-36.417,33.996,108.801,7.946,1.000000,0.000000
124,881.73,0.150,-11.860,3.1196,0.0287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-75.678,-36.417,33.996,108.800,7.946,1.000000,0.000000
125,881.74,0.150,-11.860,3.1195,0.0287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-75.678,-36.416,33.996,108.800,7.946,1.000000,0.000000
126,882.99,0.100,-11.842,3.2467,0.0190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-79.499,-37.829,36.042,171.087,8.111,1.000000,0.000000
127,882.99,0.100,-11.842,3.2467,0.0190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-79.499,-37.829,36.042,171.087,8.111,1.000000,0.000000
128,882.98,0.100,-11.842,3.2468,0.0190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-79.499,-37.830,36.042,171.087,8.111,1.000000,0.000000
129,881.45,0.050,-11.875,3.3634,0.0094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-83.530,-39.138,38.448,356.182,8.236,1.000000,0.000000
130,881.45,0.050,-11.875,3.3635,0.0094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-83.530,-39.138,38.448,356.184,8.237,1.000000,0.000000
