Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
89,874.09,0.750,-11.943,5.7282085356739e+01,2.2426,71.1944,0.4810,13.6254,0.4677,0.0000,1.0608,0.1340,0.6337,0.0000,0.0000,2.3218,3.1526,3.5890,0.2711,3.0686,0.0000,0.0000,0.0000,0.0000,-9.4351170780746e+02,-7.7565135650716e+02,1.4631685618785e+02,2.5543066431806e+01,7.7461374064384e+01,5.8487343e-01,5.0371689e-02,1.7901735e-03,4.1015273e-03,6.6432825e+00,3.0787909e-02,4.5436128e-03,9.2324855e-03,2.9563855e+00,1.2295004e+00,2.5406474e-02,3.9190304e-06,5.9531727e-03,4.6595079e-01,6.3687828e-01,4.6663669e-01,4.6663669e-01,4.6663669e-01,1.3842785e-01,6.3544,4.2717896898281e+01,2.6885,-6.8151599487199e+02,-5.7418182069484e+02,9.3558715953255e+01,1.5889006026963e+01,5.1091263824796e+01,-1.6250277026794e+03,-1.3498331772020e+03, 2.3987557214110e+02, 4.1432072458770e+01, 1.2855263788918e+02, 3.8270932109782e-03,-9.1696287884673e-04, 9.2370305993905e-05, 2.2131716431980e-05, 2.9102953460228e-03,-4.0320493558213e-04, 1.1393680370337e-04, 1.5785298787778e-05
90,875.23,0.700,-11.927,5.6300124680902e+01,2.2458,71.4560,0.4896,13.5356,0.4644,0.0000,1.0556,0.1364,0.6282,0.0000,0.0000,2.3068,3.0791,3.6369,0.2758,2.9355,0.0000,0.0000,0.0000,0.0000,-9.2701930469833e+02,-7.6250179511708e+02,1.4326076161144e+02,2.5069039230622e+01,7.5983708563108e+01,5.9043822e-01,5.0450453e-02,1.7809339e-03,4.1428051e-03,6.7870780e+00,3.1295690e-02,4.7563311e-03,9.1882541e-03,3.0207995e+00,1.2503954e+00,2.5352660e-02,3.9204139e-06,5.9745251e-03,4.8145226e-01,6.3448761e-01,4.7068632e-01,4.7068632e-01,4.7068632e-01,1.3113120e-01,6.4581,4.3699000501472e+01,2.5718,-6.9847647866901e+02,-5.8752576637070e+02,9.6615148051080e+01,1.6991432747688e+01,5.2482816870597e+01,-1.6254957833673e+03,-1.3500275614878e+03, 2.3987590966252e+02, 4.2060471978310e+01, 1.2846652543371e+02, 4.6940351548654e-03,-2.0833802140864e-03, 1.1160205613684e-04, 4.9532972791195e-05, 2.7783692072406e-03,-3.8970122142778e-04, 1.1082870714275e-04, 1.5545119932309e-05
91,875.07,0.700,-11.930,5.6322750566833e+01,2.2458,71.4649,0.4897,13.5316,0.4638,0.0000,1.0540,0.1365,0.6274,0.0000,0.0000,2.3058,3.0763,3.6389,0.2760,2.9352,0.0000,0.0000,0.0000,0.0000,-9.2737616393808e+02,-7.6283164637462e+02,1.4330382836443e+02,2.5079294074174e+01,7.6010507834512e+01,5.9054680e-01,5.0471772e-02,1.7785616e-03,4.1403776e-03,6.7892455e+00,3.1270547e-02,4.7613938e-03,9.1783639e-03,3.0216219e+00,1.2505142e+00,2.5336745e-02,3.9103385e-06,5.9717323e-03,4.8209146e-01,6.3432120e-01,4.7055937e-01,4.7055937e-01,4.7055937e-01,1.3118094e-01,6.4608,4.3677228065204e+01,2.6827,-6.9733320214061e+02,-5.8740703631593e+02,9.5736039300272e+01,1.6281147608800e+01,5.2254530428071e+01,-1.6247093660787e+03,-1.3502386826905e+03, 2.3903986766470e+02, 4.1360441682973e+01, 1.2826503826258e+02, 3.7310925788252e-03,-9.7894849640256e-04, 9.0209205390597e-05, 2.3668714756631e-05, 2.7789630086626e-03,-3.8983489669745e-04, 1.1080706659620e-04, 1.5544093687186e-05
92,875.07,0.700,-11.930,5.6322880414239e+01,2.2458,71.4649,0.4897,13.5316,0.4638,0.0000,1.0540,0.1365,0.6274,0.0000,0.0000,2.3058,3.0763,3.6389,0.2760,2.9352,0.0000,0.0000,0.0000,0.0000,-9.2737835570573e+02,-7.6283332481959e+02,1.4330420844128e+02,2.5079351276715e+01,7.6010695870619e+01,5.9054643e-01,5.0471699e-02,1.7785697e-03,4.1403859e-03,6.7892381e+00,3.1270633e-02,4.7613765e-03,9.1783978e-03,3.0216191e+00,1.2505138e+00,2.5336800e-02,3.9103730e-06,5.9717419e-03,4.8208927e-01,6.3432177e-01,4.7055981e-01,4.7055981e-01,4.7055981e-01,1.3118077e-01,6.4608,4.3677098291185e+01,2.6827,-6.9733113985548e+02,-5.8740526194358e+02,9.5735743805471e+01,1.6281070987312e+01,5.2254369014671e+01,-1.6247094955612e+03,-1.3502385867632e+03, 2.3903995224676e+02, 4.1360422264027e+01, 1.2826506488529e+02, 3.7310596552338e-03,-9.7890447357773e-04, 9.0208451727507e-05, 2.3667661498445e-05, 2.7789712061592e-03,-3.8983587403136e-04, 1.1080714072295e-04, 1.5544097202917e-05
93,876.24,0.650,-11.913,5.5326537025855e+01,2.2492,71.7349,0.4990,13.4384,0.4602,0.0000,1.0485,0.1389,0.6214,0.0000,0.0000,2.2914,2.9988,3.6885,0.2809,2.7990,0.0000,0.0000,0.0000,0.0000,-9.1064611013347e+02,-7.4948863551734e+02,1.4021148903545e+02,2.4598056098367e+01,7.4513983672016e+01,5.9644113e-01,5.0577209e-02,1.7685464e-03,4.1837504e-03,6.9384057e+00,3.1802382e-02,4.9912430e-03,9.1268142e-03,3.0892329e+00,1.2722373e+00,2.5290051e-02,3.9056334e-06,5.9917554e-03,4.9861040e-01,6.3183012e-01,4.7469958e-01,4.7469958e-01,4.7469958e-01,1.2364277e-01,6.5700,4.4672479216961e+01,2.5600,-7.1453508987476e+02,-6.0094236820952e+02,9.8828829914403e+01,1.7450092279524e+01,5.3657367355169e+01,-1.6251812000082e+03,-1.3504310037269e+03, 2.3904031894985e+02, 4.2048148377891e+01, 1.2817135102718e+02, 4.6519355355511e-03,-2.3407194433318e-03, 1.1063354071489e-04, 5.5667598541927e-05, 2.6461409327905e-03,-3.7612936528462e-04, 1.0757520521982e-04, 1.5291019899316e-05
94,876.06,0.650,-11.916,5.5345318033819e+01,2.2492,71.7446,0.4991,13.4340,0.4596,0.0000,1.0467,0.1390,0.6205,0.0000,0.0000,2.2903,2.9957,3.6906,0.2812,2.7988,0.0000,0.0000,0.0000,0.0000,-9.1093815103349e+02,-7.4976875207086e+02,1.4024326520442e+02,2.4606615111982e+01,7.4535254041439e+01,5.9656124e-01,5.0601021e-02,1.7659243e-03,4.1809860e-03,6.9408306e+00,3.1773579e-02,4.9970407e-03,9.1158677e-03,3.0901630e+00,1.2723673e+00,2.5272807e-02,3.8943355e-06,5.9885458e-03,4.9933948e-01,6.3164722e-01,4.7455695e-01,4.7455695e-01,4.7455695e-01,1.2369583e-01,6.5729,4.4654656829726e+01,2.6765,-7.1345195943668e+02,-6.0087962233329e+02,9.7956015401737e+01,1.6684043551919e+01,5.3439957817204e+01,-1.6243901104702e+03,-1.3506483744041e+03, 2.3819928060615e+02, 4.1290658663901e+01, 1.2797521185864e+02, 3.6369201565888e-03,-1.0577237461631e-03, 8.8080943106107e-05, 2.5616538471153e-05, 2.6464884379568e-03,-3.7623441187373e-04, 1.0755190935092e-04, 1.5289970203603e-05
95,876.06,0.650,-11.916,5.5345163203249e+01,2.2492,71.7446,0.4991,13.4339,0.4596,0.0000,1.0467,0.1390,0.6205,0.0000,0.0000,2.2903,2.9957,3.6906,0.2812,2.7988,0.0000,0.0000,0.0000,0.0000,-9.1093553730728e+02,-7.4976675276588e+02,1.4024281238975e+02,2.4606547071352e+01,7.4535030146946e+01,5.9656169e-01,5.0601112e-02,1.7659143e-03,4.1809754e-03,6.9408398e+00,3.1773469e-02,4.9970629e-03,9.1158259e-03,3.0901665e+00,1.2723678e+00,2.5272741e-02,3.8942924e-06,5.9885335e-03,4.9934227e-01,6.3164652e-01,4.7455640e-01,4.7455640e-01,4.7455640e-01,1.2369604e-01,6.5730,4.4654811563951e+01,2.6765,-7.1345441187198e+02,-6.0088173968441e+02,9.7956364135502e+01,1.6684136025640e+01,5.3440149315760e+01,-1.6243899491793e+03,-1.3506484924503e+03, 2.3819917652525e+02, 4.1290683096993e+01, 1.2797517946271e+02, 3.6369600594591e-03,-1.0577821674209e-03, 8.8081857374843e-05, 2.5617938190467e-05, 2.6464789291358e-03,-3.7623327279860e-04, 1.0755182031277e-04, 1.5289966191015e-05
96,877.26,0.600,-11.899,5.4334387939853e+01,2.2529,72.0237,0.5091,13.3371,0.4558,0.0000,1.0408,0.1416,0.6139,0.0000,0.0000,2.2766,2.9137,3.7419,0.2864,2.6593,0.0000,0.0000,0.0000,0.0000,-8.9396229903088e+02,-7.3622650889456e+02,1.3711309833969e+02,2.4117939906370e+01,7.3019247248201e+01,6.0281892e-01,5.0736828e-02,1.7550572e-03,4.2265141e-03,7.0959489e+00,3.2330914e-02,5.2461571e-03,9.0562167e-03,3.1613475e+00,1.2950169e+00,2.5233552e-02,3.8827697e-06,6.0069964e-03,5.1700117e-01,6.2905675e-01,4.7880149e-01,4.7880149e-01,4.7880149e-01,1.1590733e-01,6.6883,4.5664506819575e+01,2.5468,-7.3090279855105e+02,-6.1461226718997e+02,1.0108647535671e+02,1.7930410026036e+01,5.4854627447819e+01,-1.6248650975819e+03,-1.3508387760845e+03, 2.3819957369640e+02, 4.2048349932407e+01, 1.2787387469602e+02, 4.6203305546984e-03,-2.6663694354661e-03, 1.0988137613309e-04, 6.3411987384816e-05, 2.5127504813871e-03,-3.6232388314418e-04, 1.0418595000825e-04, 1.5023002982460e-05
97,877.06,0.600,-11.903,5.4349586312543e+01,2.2528,72.0342,0.5092,13.3323,0.4551,0.0000,1.0388,0.1417,0.6130,0.0000,0.0000,2.2754,2.9103,3.7442,0.2866,2.6591,0.0000,0.0000,0.0000,0.0000,-8.9419391600523e+02,-7.3646039786559e+02,1.3713435436632e+02,2.4124926228667e+01,7.3035380941536e+01,6.0295057e-01,5.0763241e-02,1.7521854e-03,4.2233852e-03,7.0986501e+00,3.2298150e-02,5.2527463e-03,9.0442121e-03,3.1623944e+00,1.2951592e+00,2.5215010e-02,3.8702316e-06,6.0033418e-03,5.1782699e-01,6.2885793e-01,4.7864300e-01,4.7864300e-01,4.7864300e-01,1.1596317e-01,6.6916,4.5650384432574e+01,2.6698,-7.2987540183215e+02,-6.1460214066188e+02,1.0021918253474e+02,1.7098823735308e+01,5.4647825259485e+01,-1.6240693178374e+03,-1.3510625385275e+03, 2.3735353690106e+02, 4.1223749963975e+01, 1.2768320620102e+02, 3.5455642216004e-03,-1.1593132990643e-03, 8.6007804353045e-05, 2.8122460961883e-05, 2.5128796487979e-03,-3.6240343329860e-04, 1.0416113297009e-04, 1.5021949906233e-05
98,877.06,0.600,-11.903,5.4349141193214e+01,2.2528,72.0343,0.5092,13.3322,0.4551,0.0000,1.0388,0.1417,0.6130,0.0000,0.0000,2.2754,2.9103,3.7443,0.2866,2.6591,0.0000,0.0000,0.0000,0.0000,-8.9418640079834e+02,-7.3645465678865e+02,1.3713305349296e+02,2.4124731137442e+01,7.3034738186615e+01,6.0295194e-01,5.0763516e-02,1.7521555e-03,4.2233527e-03,7.0986781e+00,3.2297810e-02,5.2528148e-03,9.0440873e-03,3.1624053e+00,1.2951607e+00,2.5214817e-02,3.8701015e-06,6.0033038e-03,5.1783558e-01,6.2885586e-01,4.7864136e-01,4.7864136e-01,4.7864136e-01,1.1596375e-01,6.6916,4.5650829246976e+01,2.6698,-7.2988243117368e+02,-6.1460823289371e+02,1.0022017380416e+02,1.7099093111719e+01,5.4648372935077e+01,-1.6240688319720e+03,-1.3510628896824e+03, 2.3735322729712e+02, 4.1223824249161e+01, 1.2768311112169e+02, 3.5456809534303e-03,-1.1595015687762e-03, 8.6010481026695e-05, 2.8126977297595e-05, 2.5128531052108e-03,-3.6240023855564e-04, 1.0416087503296e-04, 1.5021938959278e-05
