Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
67,867.48,1.100,-12.032,5.2030,3.3726,53.3411,0.0633,1.5707,0.6123,0.0000,19.0109,0.0000,24.3550,0.0000,0.0000,1.0249,0.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.734,-63.336,10.869,1.543,6.184,-0.586280,0.958171,0.583184,0.026473,-0.022979,0.039880,0.001551
68,867.49,1.100,-12.032,5.2028,3.3726,53.3411,0.0633,1.5708,0.6123,0.0000,19.0107,0.0000,24.3551,0.0000,0.0000,1.0249,0.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.732,-63.334,10.869,1.543,6.184,-0.586272,0.958170,0.583175,0.026474,-0.022979,0.039881,0.001551
69,868.44,1.050,-12.019,5.2465,3.3736,53.3229,0.0622,1.5616,0.6146,0.0000,19.1059,0.0000,24.2972,0.0000,0.0000,1.0140,0.0216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.328,-63.811,10.964,1.555,6.235,-0.589681,0.958591,0.586347,0.026231,-0.022798,0.039769,0.001540
70,868.39,1.050,-12.020,5.2536,3.3736,53.3227,0.0622,1.5613,0.6144,0.0000,19.1080,0.0000,24.2959,0.0000,0.0000,1.0139,0.0216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.430,-63.898,10.979,1.557,6.243,-0.589746,0.958596,0.586417,0.026226,-0.022794,0.039761,0.001540
71,868.39,1.050,-12.020,5.2534,3.3736,53.3227,0.0622,1.5613,0.6144,0.0000,19.1077,0.0000,24.2961,0.0000,0.0000,1.0139,0.0216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.428,-63.896,10.978,1.557,6.243,-0.589739,0.958596,0.586409,0.026227,-0.022794,0.039762,0.001540
72,869.37,1.000,-12.007,5.2996,3.3746,53.3028,0.0610,1.5520,0.6168,0.0000,19.2095,0.0000,24.2331,0.0000,0.0000,1.0032,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.056,-64.398,11.078,1.570,6.296,-0.593363,0.959008,0.589807,0.025979,-0.022609,0.039650,0.001528
73,869.31,1.000,-12.008,5.3071,3.3746,53.3025,0.0610,1.5516,0.6166,0.0000,19.2121,0.0000,24.2316,0.0000,0.0000,1.0031,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.162,-64.488,11.094,1.573,6.305,-0.593443,0.959014,0.589892,0.025974,-0.022605,0.039640,0.001527
74,869.31,1.000,-12.008,5.3070,3.3746,53.3025,0.0610,1.5517,0.6166,0.0000,19.2119,0.0000,24.2317,0.0000,0.0000,1.0031,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.161,-64.487,11.093,1.573,6.305,-0.593436,0.959013,0.589885,0.025974,-0.022605,0.039641,0.001528
75,870.32,0.950,-11.994,5.3559,3.3758,53.2807,0.0598,1.5422,0.6191,0.0000,19.3209,0.0000,24.1634,0.0000,0.0000,0.9927,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.823,-65.017,11.199,1.587,6.362,-0.597293,0.959417,0.593527,0.025721,-0.022416,0.039529,0.001515
76,870.24,0.950,-11.995,5.3638,3.3758,53.2804,0.0598,1.5417,0.6189,0.0000,19.3240,0.0000,24.1615,0.0000,0.0000,0.9925,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.934,-65.111,11.215,1.589,6.371,-0.597389,0.959423,0.593630,0.025714,-0.022410,0.039517,0.001515
77,870.25,0.950,-11.995,5.3637,3.3758,53.2804,0.0598,1.5418,0.6189,0.0000,19.3238,0.0000,24.1616,0.0000,0.0000,0.9925,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.933,-65.109,11.215,1.589,6.371,-0.597383,0.959423,0.593623,0.025715,-0.022411,0.039518,0.001515
78,871.28,0.900,-11.981,5.4155,3.3770,53.2566,0.0586,1.5321,0.6215,0.0000,19.4405,0.0000,24.0874,0.0000,0.0000,0.9823,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-78.631,-65.668,11.327,1.604,6.431,-0.601493,0.959817,0.597529,0.025456,-0.022217,0.039405,0.001502
79,871.19,0.900,-11.983,5.4237,3.3771,53.2562,0.0586,1.5315,0.6212,0.0000,19.4441,0.0000,24.0852,0.0000,0.0000,0.9821,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-78.748,-65.767,11.344,1.606,6.440,-0.601605,0.959824,0.597650,0.025449,-0.022211,0.039391,0.001502
80,871.19,0.900,-11.983,5.4236,3.3771,53.2562,0.0586,1.5316,0.6212,0.0000,19.4439,0.0000,24.0853,0.0000,0.0000,0.9821,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-78.746,-65.766,11.343,1.606,6.440,-0.601600,0.959824,0.597644,0.025449,-0.022211,0.039392,0.001502
81,872.25,0.850,-11.968,5.4786,3.3784,53.2302,0.0573,1.5217,0.6239,0.0000,19.5689,0.0000,24.0049,0.0000,0.0000,0.9721,0.0209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.484,-66.355,11.462,1.622,6.503,-0.605984,0.960209,0.601835,0.025185,-0.022014,0.039280,0.001489
82,872.14,0.850,-11.970,5.4872,3.3785,53.2297,0.0573,1.5211,0.6236,0.0000,19.5731,0.0000,24.0023,0.0000,0.0000,0.9719,0.0209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.606,-66.459,11.479,1.624,6.513,-0.606114,0.960217,0.601976,0.025176,-0.022007,0.039264,0.001488
83,872.15,0.850,-11.970,5.4871,3.3785,53.2298,0.0573,1.5211,0.6236,0.0000,19.5730,0.0000,24.0024,0.0000,0.0000,0.9719,0.0209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.605,-66.458,11.479,1.624,6.513,-0.606110,0.960216,0.601971,0.025177,-0.022007,0.039264,0.001488
84,873.23,0.800,-11.954,5.5454,3.3799,53.2014,0.0561,1.5111,0.6265,0.0000,19.7070,0.0000,23.9152,0.0000,0.0000,0.9621,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.384,-67.080,11.605,1.641,6.580,-0.610793,0.960593,0.606471,0.024907,-0.021805,0.039153,0.001475
85,873.11,0.800,-11.956,5.5545,3.3800,53.2009,0.0560,1.5104,0.6261,0.0000,19.7118,0.0000,23.9123,0.0000,0.0000,0.9619,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.511,-67.188,11.623,1.643,6.591,-0.610941,0.960601,0.606631,0.024897,-0.021797,0.039135,0.001474
86,873.11,0.800,-11.956,5.5544,3.3800,53.2009,0.0560,1.5104,0.6261,0.0000,19.7117,0.0000,23.9123,0.0000,0.0000,0.9619,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.510,-67.187,11.623,1.643,6.591,-0.610938,0.960600,0.606628,0.024898,-0.021797,0.039135,0.001474
