Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
45,861.60,1.450,-12.109,4.9114,3.3679,53.4304,0.0707,1.6306,0.5992,0.0000,18.4908,0.0000,24.6487,0.0000,0.0000,1.1067,0.0229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-71.674,-60.057,10.238,1.458,5.842,-0.567093,0.954978,0.565939,0.028050,-0.024160,0.040661,0.001624
46,861.60,1.450,-12.109,4.9167,3.3679,53.4304,0.0707,1.6306,0.5992,0.0000,18.4908,0.0000,24.6487,0.0000,0.0000,1.1067,0.0229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-71.753,-60.123,10.249,1.460,5.849,-0.567093,0.954978,0.565939,0.028050,-0.024160,0.040661,0.001624
47,861.60,1.450,-12.109,4.9167,3.3679,53.4304,0.0707,1.6307,0.5992,0.0000,18.4907,0.0000,24.6487,0.0000,0.0000,1.1068,0.0229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-71.752,-60.122,10.249,1.460,5.849,-0.567090,0.954978,0.565936,0.028051,-0.024160,0.040662,0.001624
48,862.40,1.400,-12.099,4.9463,3.3684,53.4212,0.0697,1.6227,0.6009,0.0000,18.5505,0.0000,24.6177,0.0000,0.0000,1.0946,0.0227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-72.167,-60.454,10.314,1.468,5.884,-0.569372,0.955455,0.567909,0.027840,-0.024003,0.040556,0.001615
49,862.40,1.400,-12.099,4.9518,3.3684,53.4212,0.0697,1.6227,0.6009,0.0000,18.5505,0.0000,24.6177,0.0000,0.0000,1.0946,0.0227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-72.246,-60.521,10.325,1.470,5.890,-0.569372,0.955455,0.567909,0.027840,-0.024003,0.040556,0.001615
50,862.40,1.400,-12.099,4.9517,3.3684,53.4212,0.0697,1.6227,0.6009,0.0000,18.5504,0.0000,24.6178,0.0000,0.0000,1.0946,0.0227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-72.244,-60.520,10.325,1.470,5.890,-0.569369,0.955455,0.567906,0.027841,-0.024003,0.040556,0.001615
51,863.22,1.350,-12.088,4.9829,3.3689,53.4110,0.0687,1.6146,0.6027,0.0000,18.6141,0.0000,24.5837,0.0000,0.0000,1.0826,0.0226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-72.680,-60.869,10.394,1.479,5.927,-0.571774,0.955924,0.570011,0.027626,-0.023842,0.040450,0.001605
52,863.22,1.350,-12.088,4.9884,3.3689,53.4110,0.0687,1.6146,0.6027,0.0000,18.6141,0.0000,24.5837,0.0000,0.0000,1.0826,0.0226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-72.759,-60.935,10.405,1.481,5.933,-0.571774,0.955924,0.570011,0.027626,-0.023842,0.040450,0.001605
53,863.23,1.350,-12.088,4.9883,3.3689,53.4110,0.0687,1.6147,0.6027,0.0000,18.6140,0.0000,24.5837,0.0000,0.0000,1.0826,0.0226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-72.758,-60.934,10.405,1.481,5.933,-0.571771,0.955924,0.570008,0.027627,-0.023842,0.040451,0.001605
54,864.06,1.300,-12.077,5.0212,3.3695,53.3997,0.0677,1.6064,0.6046,0.0000,18.6819,0.0000,24.5465,0.0000,0.0000,1.0707,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-73.215,-61.301,10.477,1.490,5.972,-0.574309,0.956385,0.572256,0.027408,-0.023679,0.040344,0.001595
