Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
31,861.02,1.750,-12.091,1.6169,4.8251,0.0000,9.3841,2.8495,49.0685,0.0000,35.8065,0.0000,2.8914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.814,-8.354,3.051,0.335,1.462,0.000000,-0.096743,0.678799,0.158482,0.259462
32,861.03,1.750,-12.091,1.6168,4.8251,0.0000,9.3840,2.8496,49.0686,0.0000,35.8064,0.0000,2.8915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.814,-8.354,3.051,0.335,1.462,0.000000,-0.096743,0.678801,0.158484,0.259459
33,860.74,1.700,-12.101,1.6267,4.8247,0.0000,9.3865,2.8461,49.0744,0.0000,35.7894,0.0000,2.9036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.889,-8.409,3.069,0.337,1.471,0.000000,-0.097478,0.678830,0.159139,0.259509
34,860.75,1.700,-12.101,1.6267,4.8247,0.0000,9.3864,2.8462,49.0746,0.0000,35.7892,0.0000,2.9037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.889,-8.409,3.069,0.337,1.471,0.000000,-0.097479,0.678832,0.159141,0.259506
35,860.46,1.650,-12.111,1.6366,4.8242,0.0000,9.3889,2.8427,49.0805,0.0000,35.7721,0.0000,2.9159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.964,-8.464,3.087,0.339,1.480,0.000000,-0.098217,0.678863,0.159800,0.259555
36,860.46,1.650,-12.111,1.6365,4.8242,0.0000,9.3887,2.8428,49.0806,0.0000,35.7719,0.0000,2.9159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.963,-8.464,3.087,0.339,1.480,0.000000,-0.098218,0.678864,0.159802,0.259552
37,860.18,1.600,-12.121,1.6464,4.8238,0.0000,9.3912,2.8393,49.0866,0.0000,35.7546,0.0000,2.9282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.038,-8.519,3.106,0.341,1.489,0.000000,-0.098960,0.678896,0.160464,0.259600
38,860.18,1.600,-12.121,1.6463,4.8238,0.0000,9.3911,2.8394,49.0868,0.0000,35.7545,0.0000,2.9283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.038,-8.518,3.106,0.341,1.489,0.000000,-0.098961,0.678898,0.160467,0.259596
39,860.07,1.550,-12.128,1.6560,4.8234,0.0000,9.3925,2.8349,49.0944,0.0000,35.7405,0.0000,2.9377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.111,-8.571,3.124,0.343,1.497,0.000000,-0.099568,0.678972,0.160974,0.259622
40,860.07,1.550,-12.128,1.6561,4.8234,0.0000,9.3925,2.8349,49.0944,0.0000,35.7405,0.0000,2.9377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.112,-8.572,3.124,0.343,1.498,0.000000,-0.099568,0.678972,0.160974,0.259622
41,860.07,1.550,-12.128,1.6561,4.8234,0.0000,9.3923,2.8350,49.0946,0.0000,35.7403,0.0000,2.9377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.112,-8.572,3.124,0.343,1.498,0.000000,-0.099569,0.678974,0.160976,0.259619
42,860.82,1.500,-12.119,1.6646,4.8235,0.0000,9.3894,2.8246,49.1092,0.0000,35.7454,0.0000,2.9315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.175,-8.613,3.141,0.345,1.505,0.000000,-0.099462,0.679248,0.160650,0.259565
43,860.82,1.500,-12.119,1.6664,4.8235,0.0000,9.3894,2.8246,49.1092,0.0000,35.7454,0.0000,2.9315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.188,-8.623,3.144,0.345,1.507,0.000000,-0.099462,0.679248,0.160650,0.259565
44,860.83,1.500,-12.119,1.6664,4.8235,0.0000,9.3893,2.8246,49.1094,0.0000,35.7452,0.0000,2.9315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.188,-8.622,3.144,0.345,1.507,0.000000,-0.099463,0.679249,0.160653,0.259561
45,861.60,1.450,-12.109,1.6745,4.8237,0.0000,9.3868,2.8138,49.1231,0.0000,35.7517,0.0000,2.9246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.248,-8.662,3.161,0.347,1.514,0.000000,-0.099332,0.679516,0.160293,0.259523
46,861.60,1.450,-12.109,1.6764,4.8237,0.0000,9.3868,2.8138,49.1231,0.0000,35.7517,0.0000,2.9246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.261,-8.671,3.164,0.348,1.516,0.000000,-0.099332,0.679516,0.160293,0.259523
47,861.60,1.450,-12.109,1.6763,4.8237,0.0000,9.3867,2.8139,49.1233,0.0000,35.7515,0.0000,2.9247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.261,-8.671,3.164,0.348,1.516,0.000000,-0.099333,0.679517,0.160295,0.259520
48,862.40,1.400,-12.099,1.6841,4.8239,0.0000,9.3849,2.8025,49.1360,0.0000,35.7594,0.0000,2.9171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.318,-8.708,3.179,0.349,1.523,0.000000,-0.099176,0.679775,0.159900,0.259500
49,862.40,1.400,-12.099,1.6859,4.8239,0.0000,9.3849,2.8025,49.1360,0.0000,35.7594,0.0000,2.9171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.332,-8.717,3.183,0.349,1.525,0.000000,-0.099176,0.679775,0.159900,0.259500
50,862.40,1.400,-12.099,1.6859,4.8239,0.0000,9.3848,2.8026,49.1362,0.0000,35.7593,0.0000,2.9172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.331,-8.717,3.183,0.349,1.525,0.000000,-0.099176,0.679777,0.159903,0.259496
51,863.22,1.350,-12.088,1.6932,4.8241,0.0000,9.3836,2.7908,49.1479,0.0000,35.7688,0.0000,2.9089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.385,-8.752,3.198,0.351,1.531,0.000000,-0.098992,0.680026,0.159470,0.259496
52,863.22,1.350,-12.088,1.6950,4.8241,0.0000,9.3836,2.7908,49.1479,0.0000,35.7688,0.0000,2.9089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.399,-8.761,3.201,0.351,1.533,0.000000,-0.098992,0.680026,0.159470,0.259496
53,863.23,1.350,-12.088,1.6950,4.8241,0.0000,9.3834,2.7909,49.1481,0.0000,35.7686,0.0000,2.9089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.398,-8.761,3.201,0.351,1.533,0.000000,-0.098992,0.680027,0.159472,0.259493
54,864.06,1.300,-12.077,1.7018,4.8243,0.0000,9.3830,2.7785,49.1587,0.0000,35.7799,0.0000,2.8999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.449,-8.793,3.215,0.353,1.539,0.000000,-0.098778,0.680265,0.158998,0.259515
55,864.06,1.300,-12.077,1.7037,4.8243,0.0000,9.3830,2.7785,49.1587,0.0000,35.7799,0.0000,2.8999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.462,-8.802,3.218,0.353,1.541,0.000000,-0.098778,0.680265,0.158998,0.259515
56,864.07,1.300,-12.077,1.7036,4.8243,0.0000,9.3829,2.7786,49.1588,0.0000,35.7798,0.0000,2.8999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.462,-8.802,3.218,0.353,1.541,0.000000,-0.098779,0.680267,0.159000,0.259511
